common_voice_hi_40878357.wav|हजारे के अभियान से पार्टी की संभावनाओं पर प्रभाव नहीं पड़ेगा: हरियाणा कांग्रेस|हजारे के अभियान से पार्टी की संभावनाओं पर प्रभाव नहीं पड़ेगा: हरियाणा कांग्रेस
common_voice_hi_40878358.wav|कश्मीर में दो आतंकवादी ठिकाने का भंडाफोड़|कश्मीर में दो आतंकवादी ठिकाने का भंडाफोड़
common_voice_hi_40878359.wav|इस तरह के गिद्धों को हल्के में नहीं बख्शा जा सकता: हाईकोर्ट|इस तरह के गिद्धों को हल्के में नहीं बख्शा जा सकता: हाईकोर्ट
common_voice_hi_40878360.wav|अगर इंटरव्यू के दौरान कर देंगे ये काम, तो नहीं मिलेगी नौकरी|अगर इंटरव्यू के दौरान कर देंगे ये काम, तो नहीं मिलेगी नौकरी
common_voice_hi_40878361.wav|पीएम से मिलेंगे थलसेना प्रमुख बिक्रम सिंह, बताएंगे सेना को क्या चाहिए|पीएम से मिलेंगे थलसेना प्रमुख बिक्रम सिंह, बताएंगे सेना को क्या चाहिए
common_voice_hi_40888548.wav|सोमदेव फ्रेंच ओपन से बाहर|सोमदेव फ्रेंच ओपन से बाहर
common_voice_hi_40903743.wav|भारत-पाक के बीच कई समझौते, पर आतंक पर चिंता कायम|भारत-पाक के बीच कई समझौते, पर आतंक पर चिंता कायम
common_voice_hi_40903744.wav|पीसीबी और मुश्ताक में टेंशन, करार रुका|पीसीबी और मुश्ताक में टेंशन, करार रुका
common_voice_hi_40903745.wav|विमान हादसा: विमान के अवशेष देखने पहुंचे लोग|विमान हादसा: विमान के अवशेष देखने पहुंचे लोग
common_voice_hi_40903746.wav|बाहुबली फेम एक्ट्रेस तमन्ना को नहीं मिल रहीं फिल्में, कब तक चलेगा करियर?|बाहुबली फेम एक्ट्रेस तमन्ना को नहीं मिल रहीं फिल्में, कब तक चलेगा करियर?
common_voice_hi_40903747.wav|पुणे धमाकों में अमोनियम नाइट्रेट का इस्तेमाल|पुणे धमाकों में अमोनियम नाइट्रेट का इस्तेमाल
common_voice_hi_40904676.wav|बिहार चुनावः अपराधियों का अब भी बोलबाला|बिहार चुनावः अपराधियों का अब भी बोलबाला
common_voice_hi_40904677.wav|व्यक्ति कर्मों से महान बनता है, जन्म से नहीं।|व्यक्ति कर्मों से महान बनता है, जन्म से नहीं।
common_voice_hi_40904678.wav|त्रिपुरा: आखिरी किले के रक्षक|त्रिपुरा: आखिरी किले के रक्षक
common_voice_hi_40904679.wav|बॉलीवुड में स्ट्रगल पर बोलीं सनी लियोनी- मेरे पास कोई गॉडफादर नहीं था|बॉलीवुड में स्ट्रगल पर बोलीं सनी लियोनी- मेरे पास कोई गॉडफादर नहीं था
common_voice_hi_40904680.wav|पब्लिक डिमांड पर सेल्फी ले ले रे एक दिन पहले ही रिलीज|पब्लिक डिमांड पर सेल्फी ले ले रे एक दिन पहले ही रिलीज
common_voice_hi_40904695.wav|सोनम कपूर का नया जलवा|सोनम कपूर का नया जलवा
common_voice_hi_40904696.wav|पूर्ण बहुमत की सरकार में वित्त मंत्री न रहने का जीवनभर रहेगा मलाल: चिदंबरम|पूर्ण बहुमत की सरकार में वित्त मंत्री न रहने का जीवनभर रहेगा मलाल: चिदंबरम
common_voice_hi_40904697.wav|बाबा रामदेव बोले- किसी एक वर्ग की जनसंख्या वृद्धि देश के लिए घातक|बाबा रामदेव बोले- किसी एक वर्ग की जनसंख्या वृद्धि देश के लिए घातक
common_voice_hi_40904698.wav|मराठा नेता शरद पवार की खराब हुई फसल|मराठा नेता शरद पवार की खराब हुई फसल
common_voice_hi_40904699.wav|सोशल इंजीनियरिंग ही है बिहार में सत्ता की चाबी|सोशल इंजीनियरिंग ही है बिहार में सत्ता की चाबी
common_voice_hi_40904720.wav|डिंपल यादव के आगे नतमस्तक पार्टियां|डिंपल यादव के आगे नतमस्तक पार्टियां
common_voice_hi_40904721.wav|सलमान के लिए डॉक्टर मशहूर गुलाटी बन शो में लौटेंगे सुनील ग्रोवर|सलमान के लिए डॉक्टर मशहूर गुलाटी बन शो में लौटेंगे सुनील ग्रोवर
common_voice_hi_40904722.wav|मेरा नाम साशा है।|मेरा नाम साशा है।
common_voice_hi_40904723.wav|सुधर रही है सुपर स्टार राजेश खन्ना की सेहत|सुधर रही है सुपर स्टार राजेश खन्ना की सेहत
common_voice_hi_40958209.wav|अररिया: बाहुबली परिवार की बचेगी सल्तनत या फिर खिलेगा कमल?|अररिया: बाहुबली परिवार की बचेगी सल्तनत या फिर खिलेगा कमल?
common_voice_hi_40958210.wav|टॉम के बाल नही थे ।|टॉम के बाल नही थे ।
common_voice_hi_40958211.wav|आखिर क्यों होती हैं इस्लाम के नाम पर हत्याएं?|आखिर क्यों होती हैं इस्लाम के नाम पर हत्याएं?
